Call Failure,Complains,Subscription Length,Charge Amount,Seconds of Use,Frequency of Use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn,Seconds per Use,Call per Month,SMS per Month,Seconds per Month,Usage Index
4,0,36,0,3908,83,11,31,2,1,1,25,229.095,0,47.08,9.22,1.22,434.22,-0.5257851406284648
5,0,35,0,1855,45,47,23,3,1,2,30,264.0,0,41.22,5.0,5.22,206.11,-1.3542074095865417
8,0,36,0,2970,54,184,26,2,1,1,25,964.08,0,55.0,6.0,20.44,330.0,0.26895633290172927
6,1,27,1,1505,37,202,14,2,2,1,25,978.39,1,40.68,4.11,22.44,167.22,-0.21440237584904542
13,0,27,0,890,26,19,10,2,1,2,25,126.72,0,34.23,2.89,2.11,98.89,-2.1578610482123453
2,0,26,0,1015,11,30,6,4,1,2,45,100.65,0,92.27,1.22,3.33,112.78,-2.2916236649480806
12,0,25,0,1415,33,28,16,2,1,1,25,191.16,0,42.88,3.67,3.11,157.22,-1.8332134537837974
4,0,25,0,3415,62,17,26,3,1,1,30,207.08,0,55.08,6.89,1.89,379.44,-0.9537504205156714
4,0,18,0,1885,27,37,17,2,1,1,25,252.54,0,69.81,3.0,4.11,209.44,-1.7468885240192178
18,0,17,1,6582,142,94,45,2,2,1,25,725.58,0,46.35,15.78,10.44,731.33,1.858735978590641
14,0,15,0,9122,172,82,43,4,1,1,45,437.35,0,53.03,19.11,9.11,1013.56,2.8745855943448806
10,0,16,3,3042,46,40,22,3,1,1,30,283.52,0,66.13,5.11,4.44,338.0,-1.1173474988293959
4,0,9,1,4580,41,224,13,3,1,1,30,1080.84,0,111.71,4.56,24.89,508.89,0.7761077342932701
5,0,9,1,1677,20,9,10,3,1,1,30,103.88,1,83.85,2.22,1.0,186.33,-2.1633606369326275
6,0,38,0,4180,70,0,14,3,1,1,30,170.0,0,59.71,7.78,0.0,464.44,-0.7833037537018865
0,0,39,0,128,4,0,1,2,1,2,25,5.94,0,32.0,0.44,0.0,14.22,-2.8864059032945737
8,0,37,0,2263,59,350,21,3,1,1,30,1492.88,0,38.36,6.56,38.89,251.44,1.6461572841506227
8,0,38,0,4008,65,0,32,1,1,1,15,224.015,0,61.66,7.22,0.0,445.33,-0.9106772726876936
1,0,38,0,2203,57,0,30,1,1,1,15,124.3,0,38.65,6.33,0.0,244.78,-1.476636075662457
9,0,38,1,3585,81,23,25,3,1,1,30,238.64,0,44.26,9.0,2.56,398.33,-0.5315214536425806
2,0,38,0,2170,38,276,15,3,1,1,30,1192.32,0,57.11,4.22,30.67,241.11,0.6102751009330034
11,0,37,2,8925,120,135,40,3,1,1,30,901.8,0,74.38,13.33,15.0,991.67,2.3922203114614407
5,0,38,0,13583,168,0,41,3,1,1,30,550.04,0,80.85,18.67,0.0,1509.22,3.141171043020161
5,0,38,1,4325,82,0,22,3,1,1,30,176.28,0,52.74,9.11,0.0,480.56,-0.5410056360360694
4,0,38,0,5728,94,0,9,3,1,1,30,232.88,0,60.94,10.44,0.0,636.44,-0.0008916240522890417
7,0,38,0,2048,53,0,14,3,1,2,30,84.04,0,38.64,5.89,0.0,227.56,-1.5826541250014463
23,0,38,3,14950,224,45,29,3,1,1,30,786.96,0,66.74,24.89,5.0,1661.11,4.830542662067605
2,0,38,1,2905,26,474,5,3,1,1,30,2013.24,0,111.73,2.89,52.67,322.78,2.315270621374497
7,0,37,0,15295,181,141,27,2,1,1,25,1330.92,0,84.5,20.11,15.67,1699.44,5.0101214488334165
1,0,37,1,6310,85,177,23,3,1,1,30,963.8,0,74.24,9.44,19.67,701.11,1.5354402013975939
0,0,37,0,685,13,0,8,2,1,2,25,31.41,0,52.69,1.44,0.0,76.11,-2.598564688154887
0,0,38,0,520,13,4,5,3,1,2,30,37.32,0,40.0,1.44,0.44,57.78,-2.6024957942412317
0,0,37,0,0,0,0,0,2,1,2,25,0.0,1,0.0,0.0,0.0,0.0,-2.9860320375726848
1,0,37,0,7318,126,375,40,2,1,1,25,2022.48,0,58.08,14.0,41.67,813.11,4.223604403556283
5,0,37,1,11275,153,2,44,4,1,1,45,290.7,0,73.69,17.0,0.22,1252.78,2.3523820146280277
6,0,37,1,6528,74,99,34,2,1,1,25,742.59,0,88.22,8.22,11.0,725.33,0.7113621184581586
21,0,33,0,765,46,7,14,2,1,2,25,67.995,1,16.63,5.11,0.78,85.0,-1.9462264280704136
19,0,36,8,10245,92,0,39,5,2,1,55,155.055,0,111.36,10.22,0.0,1138.33,1.033790230804354
11,0,36,1,5628,97,17,21,2,1,1,25,334.125,1,58.02,10.78,1.89,625.33,0.17673244558595136
0,0,34,0,2650,21,0,11,3,1,1,30,106.84,0,126.19,2.33,0.0,294.44,-1.994727870004548
7,1,35,0,2800,40,0,13,3,1,2,30,113.6,1,70.0,4.44,0.0,311.11,-1.6299295506236056
7,0,36,0,2078,43,25,28,3,1,2,30,184.84,1,48.33,4.78,2.78,230.89,-1.5292950708534803
0,0,36,0,0,0,0,0,3,1,2,30,0.0,1,0.0,0.0,0.0,0.0,-2.9860320375726848
0,0,36,0,1478,24,0,3,3,1,1,30,60.08,0,61.58,2.67,0.0,164.22,-2.2201915395624012
1,0,33,1,6595,96,5,19,5,1,1,55,107.865,0,68.7,10.67,0.56,732.78,0.28293497807852086
0,0,36,0,438,6,0,1,4,1,2,45,11.1,1,73.0,0.67,0.0,48.67,-2.7783553878230705
0,0,36,1,0,0,0,0,5,1,1,55,0.0,0,0.0,0.0,0.0,0.0,-2.9860320375726848
23,0,31,3,15885,237,0,77,2,1,1,25,725.49,0,67.03,26.33,0.0,1765.0,4.881975193233228
4,0,34,3,6775,115,262,30,2,2,1,25,1489.05,0,58.91,12.78,29.11,752.78,2.911976286632676
0,0,36,0,3528,81,0,25,2,1,1,25,162.405,0,43.56,9.0,0.0,392.0,-0.747016429663818
1,0,35,0,1475,43,29,17,3,1,2,30,176.72,0,34.3,4.78,3.22,163.89,-1.636917243482963
4,0,36,0,2590,52,166,20,2,1,1,25,865.89,0,49.81,5.78,18.44,287.78,-0.01375350099469208
2,0,27,1,1125,35,184,8,2,2,1,25,880.2,0,32.14,3.89,20.44,125.0,-0.4971122097454672
9,0,27,0,510,24,1,4,2,1,2,25,28.53,0,21.25,2.67,0.11,56.67,-2.440570882108767
0,0,26,0,635,9,12,1,4,1,2,45,46.1,0,70.56,1.0,1.33,70.56,-2.5743334988445024
8,0,25,0,1035,31,10,10,2,1,1,25,92.97,0,33.39,3.44,1.11,115.0,-2.1159232876802188
0,0,25,0,3035,60,0,20,3,1,1,30,123.8,0,50.58,6.67,0.0,337.22,-1.227677605146226
0,0,18,0,1505,25,19,11,2,1,1,25,154.35,0,60.2,2.78,2.11,167.22,-2.0295983579156394
14,0,17,1,6202,140,76,39,2,2,1,25,627.39,0,44.3,15.56,8.44,689.11,1.5760261446942194
10,0,15,0,8742,170,64,37,4,1,1,45,382.8,0,51.42,18.89,7.11,971.33,2.591875760448459
6,0,16,3,2662,44,22,16,3,1,1,30,196.24,0,60.5,4.89,2.44,295.78,-1.4000573327258174
0,0,9,1,4200,39,206,7,3,1,1,30,993.56,0,107.69,4.33,22.89,466.67,0.4933979003968487
1,0,9,1,1297,18,0,4,3,1,1,30,52.6,1,72.06,2.0,0.0,144.11,-2.367026627436247
6,0,33,0,4370,65,0,16,2,1,1,25,199.575,0,67.23,7.22,0.0,485.56,-0.8249782633529539
0,0,34,0,318,4,0,3,2,1,2,25,14.49,0,79.5,0.44,0.0,35.33,-2.8414257602735775
8,0,32,0,2453,54,351,23,2,1,1,25,1692.315,0,45.43,6.0,39.0,272.56,1.6132654237654225
8,0,33,0,4198,60,0,34,1,1,1,15,234.19,0,69.97,6.67,0.0,466.44,-0.9523517823387608
1,0,33,0,2393,52,0,32,1,1,1,15,134.475,0,46.02,5.78,0.0,265.89,-1.5183105853135244
9,0,33,0,3775,76,24,27,2,1,1,25,281.295,0,49.67,8.44,2.67,419.44,-0.5644133140277809
2,0,33,0,2360,33,277,17,3,1,1,30,1203.72,0,71.52,3.67,30.78,262.22,0.5773832405478032
11,0,32,1,9115,115,136,42,3,1,1,30,913.2,0,79.26,12.78,15.11,1012.78,2.35932845107624
5,0,33,0,13773,163,0,43,3,1,1,30,557.44,0,84.5,18.11,0.0,1530.33,3.0994965333690945
5,0,33,0,4515,77,0,24,3,1,1,30,183.68,0,58.64,8.56,0.0,501.67,-0.5826801456871367
4,0,33,0,5918,89,0,11,2,1,1,25,270.315,0,66.49,9.89,0.0,657.56,-0.04256613370335638
7,1,33,0,2238,48,0,16,3,1,2,30,91.44,0,46.62,5.33,0.0,248.67,-1.6243286346525139
23,0,33,2,15140,219,46,31,3,1,1,30,798.36,0,69.13,24.33,5.11,1682.22,4.797650801682405
2,0,33,0,3095,21,475,7,3,1,1,30,2024.64,0,147.38,2.33,52.78,343.89,2.282378760989297
7,0,32,0,15485,176,142,29,2,1,1,25,1343.745,0,87.98,19.56,15.78,1720.56,4.977229588448218
1,0,32,0,6500,80,178,25,3,1,1,30,975.2,0,81.25,8.89,19.78,722.22,1.5025483410123934
0,0,33,0,710,8,5,7,2,1,2,25,54.81,0,88.75,0.89,0.56,78.89,-2.6353876546264323
0,0,32,0,0,0,0,0,2,1,2,25,0.0,1,0.0,0.0,0.0,0.0,-2.9860320375726848
1,0,32,0,7508,121,376,42,2,1,1,25,2035.305,0,62.05,13.44,41.78,834.22,4.190712543171084
5,0,32,0,11465,148,3,46,3,1,1,30,476.52,0,77.47,16.44,0.33,1273.89,2.319490154242827
6,0,32,0,6718,69,100,36,2,1,1,25,755.415,0,97.36,7.67,11.11,746.44,0.6784702580729581
21,1,28,0,955,41,8,16,2,1,2,25,80.82,1,23.29,4.56,0.89,106.11,-1.9791182884556138
19,0,31,7,10435,87,0,41,4,1,1,45,263.05,0,119.94,9.67,0.0,1159.44,0.9921157211532868
11,0,31,0,5818,92,18,23,2,1,1,25,346.95,1,63.24,10.22,2.0,646.44,0.14384058520075094
0,0,29,0,2840,16,0,13,3,1,1,30,114.24,0,177.5,1.78,0.0,315.56,-2.036402379655615
7,1,30,0,2990,35,1,15,2,1,2,25,140.625,1,85.43,3.89,0.11,332.22,-1.6628214110088058
7,1,31,0,2268,38,26,30,3,1,2,30,196.24,1,59.68,4.22,2.89,252.0,-1.5621869312386805
0,1,31,0,0,0,0,0,2,1,2,25,0.0,1,0.0,0.0,0.0,0.0,-2.9860320375726848
0,0,31,0,1668,19,0,5,3,1,1,30,67.48,0,87.79,2.11,0.0,185.33,-2.261866049213469
1,0,28,0,6785,91,6,21,4,1,1,45,186.9,0,74.56,10.11,0.67,753.89,0.25004311769332066
0,0,31,0,338,5,0,1,4,1,1,45,8.575,0,67.6,0.56,0.0,37.56,-2.819360077842218
23,0,26,2,16075,232,0,79,2,1,1,25,733.815,0,69.29,25.78,0.0,1786.11,4.840300683582162
4,0,29,2,6965,110,263,32,2,2,1,25,1501.875,0,63.32,12.22,29.22,773.89,2.8790844262474753
0,0,31,0,3718,76,0,27,2,1,1,25,170.73,0,48.92,8.44,0.0,413.11,-0.7886909393148853
1,0,30,0,1665,38,30,19,3,1,2,30,188.12,0,43.82,4.22,3.33,185.0,-1.6698091038681633
4,0,31,0,2780,47,167,22,2,1,1,25,878.715,0,59.15,5.22,18.56,308.89,-0.0466453613798925
2,0,22,0,1315,30,185,10,2,2,1,25,893.025,0,43.83,3.33,20.56,146.11,-0.5300040701306674
9,0,22,0,700,19,2,6,2,1,2,25,41.355,0,36.84,2.11,0.22,77.78,-2.4734627424939672
0,0,21,0,825,4,13,2,4,1,2,45,53.225,0,206.25,0.44,1.44,91.67,-2.6072253592297026
8,0,20,0,1225,26,11,12,2,1,1,25,105.795,0,47.12,2.89,1.22,136.11,-2.148815148065419
0,0,20,0,3225,55,0,22,3,1,1,30,131.2,0,58.64,6.11,0.0,358.33,-1.269352114797293
0,0,13,0,1695,20,20,13,2,1,1,25,167.175,0,84.75,2.22,2.22,188.33,-2.0624902183008396
14,0,12,0,6392,135,77,41,1,2,1,15,782.485,0,47.35,15.0,8.56,710.22,1.5431342843090192
10,0,10,0,8932,165,65,39,4,1,1,45,389.925,0,54.13,18.33,7.22,992.44,2.558983900063258
6,0,11,2,2852,39,23,18,3,1,1,30,207.64,0,73.13,4.33,2.56,316.89,-1.4329491931110176
0,0,4,0,4390,34,207,9,3,1,1,30,1004.96,0,129.12,8.5,51.75,1097.5,0.4605060400116484
1,0,4,0,1487,13,0,6,2,1,1,25,67.5,1,114.38,3.25,0.0,371.75,-2.4087011370873146
10,0,43,1,4370,77,13,18,3,1,1,30,229.88,0,56.75,8.56,1.44,485.56,-0.5028326564837324
2,0,44,0,318,11,15,5,3,1,2,30,73.16,0,28.91,1.22,1.67,35.33,-2.5883695075446855
12,0,42,1,2453,66,367,25,3,1,1,30,1568.76,0,37.17,7.33,40.78,272.56,1.9617589784322444
12,0,43,1,4198,72,9,36,1,1,1,15,284.35,0,58.31,8.0,1.0,466.44,-0.665336772533007
5,0,43,1,2393,64,10,34,2,1,1,25,155.565,0,37.39,7.11,1.11,265.89,-1.2225129262419037
13,0,43,2,3775,88,40,29,3,1,1,30,314.52,0,42.9,9.78,4.44,419.44,-0.21591975936095884
6,0,43,1,2360,45,293,19,4,1,1,45,792.625,0,52.44,5.0,32.56,262.22,0.925876795214625
15,0,42,3,9115,127,152,44,3,1,1,30,977.68,0,71.77,14.11,16.89,1012.78,2.707822005743062
9,0,43,1,13773,175,8,45,3,1,1,30,589.92,0,78.7,19.44,0.89,1530.33,3.3777288939089813
9,0,43,2,4515,89,10,26,3,1,1,30,224.16,0,50.73,9.89,1.11,501.67,-0.2868824866155159
8,0,43,1,5918,101,15,13,3,1,1,30,300.76,0,58.59,11.22,1.67,657.56,0.2971447716975988
11,1,43,0,2238,60,16,18,3,1,2,30,155.92,0,37.3,6.67,1.78,248.67,-1.2758350799856917
27,0,43,4,15140,231,62,33,3,1,1,30,862.84,0,65.54,25.67,6.89,1682.22,5.146144356349226
6,0,43,2,3095,33,491,9,4,1,1,45,1305.7,0,93.79,3.67,54.56,343.89,2.630872315656119
11,0,42,1,15485,188,158,31,2,1,1,25,1416.285,0,82.37,20.89,17.56,1720.56,5.325723143115039
5,0,42,2,6500,92,194,27,3,1,1,30,1039.68,0,70.65,10.22,21.56,722.22,1.8510418956792156
2,0,42,0,875,20,8,12,2,1,2,25,76.275,0,43.75,2.22,0.89,97.22,-2.362006837266067
4,0,43,0,710,20,21,9,3,1,2,30,113.2,0,35.5,2.22,2.33,78.89,-2.28689409995961
0,0,42,0,0,0,8,0,2,1,2,25,36.0,1,0.0,0.0,0.89,0.0,-2.9157708434457494
5,0,42,1,7508,133,392,44,3,1,1,30,1873.64,0,56.45,14.78,43.56,834.22,4.539206097837906
9,0,42,2,11465,160,19,48,4,1,1,45,338.125,0,71.66,17.78,2.11,1273.89,2.6679837089096488
10,0,42,2,6718,81,116,38,2,1,1,25,827.955,0,82.94,9.0,12.89,746.44,1.0269638127397802
25,1,38,0,955,53,24,18,3,1,2,30,136.32,1,18.02,5.89,2.67,106.11,-1.6306247337887918
23,0,41,9,10435,99,9,43,5,2,1,55,171.51,0,105.4,11.0,1.0,1159.44,1.2791307309590407
15,0,41,2,5818,104,34,25,3,1,1,30,372.88,0,55.94,11.56,3.78,646.44,0.492334139867573
3,0,39,1,2840,28,8,15,3,1,1,30,146.72,0,101.43,3.11,0.89,315.56,-1.7581700191157283
11,0,40,0,2990,47,17,17,3,1,2,30,189.48,1,63.62,5.22,1.89,332.22,-1.3143278563419838
11,1,41,0,2268,50,42,32,4,1,2,45,162.95,1,45.36,5.56,4.67,252.0,-1.2136933765718583
2,0,41,0,133,8,8,3,3,1,2,30,37.64,1,16.62,0.89,0.89,14.78,-2.7456372990557507
3,0,41,1,1668,31,8,7,4,1,1,45,62.475,0,53.81,3.44,0.89,185.33,-1.9836336886735815
5,0,38,2,6785,103,22,23,5,1,1,55,136.32,0,65.87,11.44,2.44,753.89,0.5985366723601427
2,0,41,0,628,13,17,5,4,1,2,45,58.525,1,48.31,1.44,1.89,69.78,-2.4627536935414485
2,0,41,2,338,10,12,3,5,1,1,55,23.22,0,33.8,1.11,1.33,37.56,-2.627313633979752
27,0,36,4,16075,244,8,81,2,1,1,25,770.355,0,65.88,27.11,0.89,1786.11,5.118533044122048
8,0,39,4,6965,122,279,34,3,2,1,30,1399.48,0,57.09,13.56,31.0,773.89,3.2275779809142975
4,0,41,1,3718,88,10,29,3,1,1,30,192.24,0,42.25,9.78,1.11,413.11,-0.4928932802432645
5,0,40,0,1665,50,46,21,4,1,2,45,157.875,0,33.3,5.56,5.11,185.0,-1.3213155492013413
8,0,41,1,2780,59,183,24,2,1,1,25,951.255,0,47.12,6.56,20.33,308.89,0.3018481932869298
6,1,32,2,1315,42,201,12,3,2,1,30,858.28,1,31.31,4.67,22.33,146.11,-0.18151051546384522
13,0,32,0,700,31,18,8,3,1,2,30,101.24,0,22.58,3.44,2.0,77.78,-2.124969187827145
2,0,31,0,825,16,29,4,4,1,2,45,93.525,0,51.56,1.78,3.22,91.67,-2.2587318045628804
12,0,30,1,1225,38,27,14,2,1,1,25,178.335,0,32.24,4.22,3.0,136.11,-1.800321593398597
4,0,30,1,3225,67,16,24,3,1,1,30,195.68,0,48.13,7.44,1.78,358.33,-0.9208585601304711
4,0,23,1,1695,32,36,15,3,1,1,30,213.08,0,52.97,3.56,4.0,188.33,-1.7139966636340176
18,0,22,2,6392,147,93,43,2,2,1,25,712.755,0,43.48,16.33,10.33,710.22,1.8916278389758414
14,0,20,1,8932,177,81,41,5,1,1,55,258.135,0,50.46,19.67,9.0,992.44,2.907477454730081
10,0,21,4,2852,51,39,20,3,1,1,30,272.12,0,55.92,5.67,4.33,316.89,-1.0844556384441955
4,0,14,2,4390,46,223,11,3,1,1,30,1069.44,0,95.43,5.11,24.78,487.78,0.8089995946784703
5,1,14,2,1487,25,8,8,3,1,1,30,92.48,1,59.48,2.78,0.89,165.22,-2.1304687765474273
14,0,39,1,5080,82,30,17,3,1,1,30,326.48,0,61.95,9.11,3.33,564.44,-0.09878927395031523
6,0,40,0,1028,16,15,4,3,1,2,30,101.76,0,64.25,1.78,1.67,114.22,-2.333631162531005
16,0,38,1,3163,71,367,24,3,1,1,30,1597.36,0,44.55,7.89,40.78,351.44,2.216497323445924
16,0,39,1,4908,77,9,35,1,1,1,15,323.675,0,63.74,8.56,1.0,545.33,-0.41059842751932707
9,0,39,1,3103,69,10,33,2,1,1,25,187.74,0,44.97,7.67,1.11,344.78,-0.9677745812282236
17,0,39,2,4485,93,40,28,3,1,1,30,343.12,0,48.23,10.33,4.44,498.33,0.038818585652721116
10,0,39,1,3070,50,293,18,3,1,1,30,1296.8,0,61.4,5.56,32.56,341.11,1.180615140228305
19,0,38,3,9825,132,152,43,3,1,1,30,1006.28,0,74.43,14.67,16.89,1091.67,2.9625603507567417
13,0,39,1,14483,180,8,44,3,1,1,30,618.52,0,80.46,20.0,0.89,1609.22,3.6324672389226618
13,0,39,2,5225,94,10,25,3,1,1,30,252.76,0,55.59,10.44,1.11,580.56,-0.032144141601835985
12,0,39,1,6628,106,15,12,3,1,1,30,329.36,0,62.53,11.78,1.67,736.44,0.5518831167112788
15,0,39,0,2948,65,16,17,3,1,2,30,184.52,0,45.35,7.22,1.78,327.56,-1.0210967349720117
31,1,39,4,15850,236,62,32,3,1,1,30,891.44,0,67.16,26.22,6.89,1761.11,5.400882701362906
10,0,39,2,3805,38,491,8,3,1,1,30,2117.72,0,100.13,4.22,54.56,422.78,2.8856106606697987
15,0,38,1,16195,193,158,30,2,1,1,25,1448.46,0,83.91,21.44,17.56,1799.44,5.5804614881287185
9,0,38,2,7210,97,194,26,3,1,1,30,1068.28,0,74.33,10.78,21.56,801.11,2.105780240692895
6,0,38,0,1585,25,8,11,2,1,2,25,108.45,0,63.4,2.78,0.89,176.11,-2.107268492252387
8,0,39,0,1420,25,21,8,3,1,2,30,141.8,0,56.8,2.78,2.33,157.78,-2.03215575494593
6,0,38,0,710,11,8,2,2,1,2,25,68.445,1,64.55,1.22,0.89,78.89,-2.5570469152255932
9,0,38,1,8218,138,392,43,3,1,1,30,1902.24,0,59.55,15.33,43.56,913.11,4.793944442851586
13,0,38,2,12175,165,19,47,4,1,1,45,356.0,0,73.79,18.33,2.11,1352.78,2.922722053923329
14,0,38,2,7428,86,116,37,2,1,1,25,860.13,0,86.37,9.56,12.89,825.33,1.2817021577534604
29,1,34,0,1665,58,24,17,3,1,2,30,164.92,1,28.71,6.44,2.67,185.0,-1.3758863887751118
27,0,37,9,11145,104,9,42,5,2,1,55,182.235,0,107.16,11.56,1.0,1238.33,1.5338690759727207
19,0,37,2,6528,109,34,24,2,1,1,25,451.665,0,59.89,12.11,3.78,725.33,0.747072484881253
7,0,35,1,3550,33,8,14,3,1,1,30,175.32,0,107.58,3.67,0.89,394.44,-1.5034316741020484
15,1,36,0,3700,52,17,16,3,1,2,30,218.08,1,71.15,5.78,1.89,411.11,-1.0595895113283038
15,1,37,0,2978,55,42,31,3,1,2,30,289.32,1,54.15,6.11,4.67,330.89,-0.9589550315581783
6,0,37,0,843,13,8,2,3,1,2,30,66.24,1,64.85,1.44,0.89,93.67,-2.490898954042071
7,0,37,1,2378,36,8,6,4,1,1,45,80.35,0,66.06,4.0,0.89,264.22,-1.7288953436599015
9,0,34,2,7495,108,22,22,5,1,1,55,147.045,0,69.4,12.0,2.44,832.78,0.8532750173738225
6,1,37,0,1338,18,17,4,4,1,2,45,76.4,1,74.33,2.0,1.89,148.67,-2.208015348527769
6,0,37,2,1048,15,12,2,5,1,1,55,33.945,0,69.87,1.67,1.33,116.44,-2.372575288966072
31,1,32,4,16785,249,8,80,2,1,1,25,802.53,0,67.41,27.67,0.89,1865.0,5.373271389135727
12,1,35,4,7675,127,279,33,3,2,1,30,1428.08,0,60.43,14.11,31.0,852.78,3.482316325927978
8,0,37,1,4428,93,10,28,3,1,1,30,220.84,0,47.61,10.33,1.11,492.0,-0.23815493522958453
9,0,36,0,2375,55,46,20,3,1,2,30,281.2,0,43.18,6.11,5.11,263.89,-1.0665772041876613
12,0,37,1,3490,64,183,23,2,1,1,25,983.43,0,54.53,7.11,20.33,387.78,0.5565865383006097
10,0,28,2,2025,47,201,11,3,2,1,30,886.88,0,43.09,5.22,22.33,225.0,0.07322782954983476
17,0,28,0,1410,36,18,7,3,1,2,30,129.84,0,39.17,4.0,2.0,156.67,-1.870230842813465
6,0,27,0,1535,21,29,3,4,1,2,45,111.4,0,73.1,2.33,3.22,170.56,-2.0039934595492004
16,0,26,1,1935,43,27,13,2,1,1,25,210.51,0,45.0,4.78,3.0,215.0,-1.545583248384917
8,0,26,1,3935,72,16,23,3,1,1,30,224.28,0,54.65,8.0,1.78,437.22,-0.6661202151167911
8,0,19,1,2405,37,36,14,2,1,1,25,271.89,0,65.0,4.11,4.0,267.22,-1.4592583186203376
22,0,18,2,7102,152,93,42,2,2,1,25,744.93,0,46.72,16.89,10.33,789.11,2.146366183989521
18,0,16,1,9642,182,81,40,5,1,1,55,268.86,0,52.98,20.22,9.0,1071.33,3.1622157997437608
14,0,17,4,3562,56,39,19,3,2,1,30,300.72,0,63.61,6.22,4.33,395.78,-0.8297172934305155
8,0,10,2,5100,51,223,10,3,1,1,30,1098.04,0,100.0,5.67,24.78,566.67,1.0637379396921502
9,0,10,2,2197,30,8,7,3,1,1,30,121.08,1,73.23,3.33,0.89,244.11,-1.8757304315337473
2,0,37,0,3660,60,0,17,2,1,1,25,167.4,0,61.0,6.67,0.0,406.67,-1.0797166083666339
0,0,38,0,0,0,0,0,2,1,2,25,0.0,0,0.0,0.0,0.0,0.0,-2.9860320375726848
4,0,36,0,1743,49,334,24,2,1,1,25,1583.64,0,35.57,5.44,37.11,193.67,1.209222041232005
4,0,37,0,3488,55,0,35,1,1,1,15,194.865,0,63.42,6.11,0.0,387.56,-1.2070901273524406
0,0,37,0,1683,47,0,33,1,1,1,15,95.15,0,35.81,5.22,0.0,187.0,-1.7730489303272043
5,0,37,0,3065,71,7,28,3,1,1,30,153.44,0,43.17,7.89,0.78,340.56,-0.968456696561198
0,0,37,0,1650,28,260,18,3,1,1,30,1107.12,0,58.93,3.11,28.89,183.33,0.1733398580143859
7,0,36,1,8405,110,119,43,3,1,1,30,816.6,0,76.41,12.22,13.22,933.89,1.955285068542823
1,0,37,0,13063,158,0,44,3,1,1,30,528.84,0,82.68,17.56,0.0,1451.44,2.844758188355414
1,0,37,0,3805,72,0,25,3,1,1,30,155.08,0,52.85,8.0,0.0,422.78,-0.8374184907008166
0,0,37,0,5208,84,0,12,2,1,1,25,238.14,0,62.0,9.33,0.0,578.67,-0.2973044787170363
3,0,37,0,1528,43,0,17,3,1,2,30,62.84,0,35.53,4.78,0.0,169.78,-1.8790669796661938
19,0,37,2,14430,214,29,32,3,1,1,30,701.76,0,67.43,23.78,3.22,1603.33,4.393607419148987
0,0,37,0,2385,16,458,8,3,1,1,30,1928.04,0,149.06,1.78,50.89,265.0,1.8783353784558798
3,0,36,0,14775,171,125,30,2,1,1,25,1235.07,0,86.4,19.0,13.89,1641.67,4.5731862059148
0,0,36,0,5790,75,161,26,3,1,1,30,878.6,0,77.2,8.33,17.89,643.33,1.0985049584789763
0,0,37,0,0,0,0,0,2,1,2,25,0.0,0,0.0,0.0,0.0,0.0,-2.9860320375726848
0,0,36,0,0,0,0,0,2,1,2,25,0.0,1,0.0,0.0,0.0,0.0,-2.9860320375726848
0,0,36,0,6798,116,359,43,2,1,1,25,1926.63,0,58.6,12.89,39.89,755.33,3.7866691606376666
1,0,36,0,10755,143,0,47,3,1,1,30,435.92,0,75.21,15.89,0.0,1195.0,2.0384038614315467
2,0,36,0,6008,64,83,37,2,1,1,25,646.74,0,93.88,7.11,9.22,667.56,0.274426875539541
17,0,32,0,245,36,0,17,2,1,2,25,12.645,1,6.81,4.0,0.0,27.22,-2.304117827596229
15,0,35,7,9725,82,0,42,4,1,1,45,245.175,0,118.6,9.11,0.0,1080.56,0.7373773761396069
7,0,35,0,5108,87,1,24,2,1,1,25,238.275,1,58.71,9.67,0.11,567.56,-0.26020279733266616
3,1,34,0,2280,30,0,16,2,1,2,25,103.95,1,76.0,3.33,0.0,253.33,-1.9263424052883527
3,0,35,0,1558,33,9,31,3,1,2,30,99.64,1,47.21,3.67,1.0,173.11,-1.9662303137720976
0,0,35,0,0,0,0,0,3,1,2,30,0.0,1,0.0,0.0,0.0,0.0,-2.9860320375726848
0,0,35,0,958,14,0,6,3,1,1,30,38.88,0,68.43,1.56,0.0,106.44,-2.5166043942271488
0,0,32,0,6075,86,0,22,4,1,1,45,154.025,0,70.64,9.56,0.0,675.0,-0.0573911229155607
0,0,35,0,0,0,0,0,4,1,2,45,0.0,1,0.0,0.0,0.0,0.0,-2.9860320375726848
0,0,35,0,0,0,0,0,5,1,1,55,0.0,0,0.0,0.0,0.0,0.0,-2.9860320375726848
19,0,30,2,15365,227,0,80,2,1,1,25,701.64,0,67.69,25.22,0.0,1707.22,4.585562338568482
0,0,33,2,6255,105,246,33,2,2,1,25,1393.2,0,59.57,11.67,27.33,695.0,2.475041043714058
0,0,35,0,3008,71,0,28,2,1,1,25,138.555,0,42.37,7.89,0.0,334.22,-1.0434292843285653
0,0,34,0,955,33,13,20,3,1,2,30,91.52,0,28.94,3.67,1.44,106.11,-2.073852486401581
0,0,35,0,2070,42,150,23,2,1,1,25,770.04,0,49.29,4.67,16.67,230.0,-0.4506887439133098
0,0,26,0,605,25,168,11,2,2,1,25,784.35,0,24.2,2.78,18.67,67.22,-0.9340474526640846
